id,authors,title,journal,year,volume,pages,doi,key_findings,pmid
1,"Scaltriti M, Rojo F, Ocaña A, et al.","Expression of p95HER2, a truncated form of the HER2 receptor, and response to anti-HER2 therapies in breast cancer",J Natl Cancer Inst,2007,99(8),628-638,10.1093/jnci/djk134,First characterization of p95-HER2 in breast cancer; 30% frequency; associated with trastuzumab resistance,
2,"Arribas J, Baselga J, Pedersen K, Parra-Palau JL",p95HER2 and breast cancer,Cancer Res,2011,71(5),1515-1519,10.1158/0008-5472.CAN-10-3191,Review of p95-HER2 biology; mechanisms of generation; therapeutic implications,
3,"Sáez R, Molina MA, Ramsey EE, et al.",p95HER-2 predicts worse outcome in patients with HER-2-positive breast cancer,Clin Cancer Res,2006,12(2),424-431,10.1158/1078-0432.CCR-05-1807,p95-HER2 associated with nodal metastasis and poor prognosis,
4,"Pedersen K, Angelini PD, Laos S, et al.",A naturally occurring HER2 carboxy-terminal fragment promotes mammary tumor growth and metastasis,Mol Cell Biol,2009,29(12),3319-3331,10.1128/MCB.01803-08,p95-HER2 promotes tumor growth; constitutively active kinase,
5,"Castiglioni F, Tagliabue E, Campiglio M, et al.",Role of exon-16-deleted HER2 in breast carcinomas,Endocr Relat Cancer,2006,13(1),221-232,10.1677/erc.1.01047,Δ16HER2 splice variant characterization; oncogenic properties,
6,"Tural D, Akar E, Mutlu H, Kilickap S",P95 HER2 fragments and breast cancer outcome,Expert Rev Anticancer Ther,2014,14(9),1089-1096,10.1586/14737140.2014.929154,Clinical significance of p95-HER2; prognostic implications,
7,"Parra-Palau JL, Morancho B, Peg V, et al.",Effect of p95HER2/611CTF on the response to trastuzumab and chemotherapy,J Natl Cancer Inst,2014,106(11),dju291,10.1093/jnci/dju291,p95-HER2 cells sensitive to chemotherapy but resistant to trastuzumab,
8,"Molina MA, Sáez R, Ramsey EE, et al.",NH(2)-terminal truncated HER-2 protein but not full-length receptor is associated with nodal metastasis in human breast cancer,Clin Cancer Res,2002,8(2),347-353,,p95-HER2 associated with lymph node metastasis,11839648
9,"Morancho B, Parra-Palau JL, Ibrahim YH, et al.",A dominant-negative N-terminal fragment of HER2 frequently expressed in breast cancers,Oncogene,2013,32(39),4582-4592,10.1038/onc.2012.485,p95HER2-DB dual blockade approach; xenograft efficacy,23435418
10,"Weisser NE, Sanber K, Gafner V, et al.",The bispecific antibody zanidatamab's mechanism of action at the HER2-receptor level,Nat Commun,2023,14,1394,10.1038/s41467-023-36768-7,Biparatopic mechanism; receptor clustering; enhanced internalization,36918563
11,"Li JY, Perry SR, Muniz-Medina V, et al.",A biparatopic HER2-targeting antibody-drug conjugate induces tumor regression in primary models refractory to or ineligible for HER2-targeted therapy,Cancer Cell,2019,35(6),948-963,10.1016/j.ccell.2019.05.002,Biparatopic ADC design; enhanced efficacy,31130373
12,"Cho HS, Mason K, Ramyar KX, et al.",Structure of the extracellular region of HER2 alone and in complex with the Herceptin Fab,Nature,2003,421(6924),756-760,10.1038/nature01392,Crystal structure of HER2-trastuzumab complex; epitope mapping,12610629
13,"Franklin MC, Carey KD, Vajdos FF, et al.",Insights into ErbB signaling from the structure of the ErbB2-pertuzumab complex,Cancer Cell,2004,5(4),317-328,10.1016/S1535-6108(04)00083-2,Crystal structure of HER2-pertuzumab complex; Domain II epitope,15093539
14,"Hu D, et al.","p95HER2, a truncated form of the HER2 oncoprotein, drives an immunosuppressive program in HER2+ breast cancer that limits trastuzumab deruxtecan efficacy",Nat Cancer,2025,,(Epub June 27),10.1038/s43018-025-00969-4,p95HER2 promotes PD-L1 expression and IL-6 secretion; limits T-DXd efficacy; neratinib degrades p95HER2 restoring immune response,40579589
